AURRERA BODEGA SUCURSAL  GOBERNADORA,HARINA DE MAIZ,11.00,19.558407,-99.025819
WALMART SUCURSAL PLAZA ARAGON,HARINA DE MAIZ,13.00,19.532646,-99.027852
MERCADO SORIANA SUCURSAL LA FLORIDA,HARINA DE MAIZ,10.00,19.551690,-99.019634
SUPERAMA SUCURSAL MICHOACAN,HARINA DE MAIZ,13.00,19.411468,-99.171176
MEGA COMERCIAL MEXICANA SUCURSAL IZCALLI,HARINA DE MAIZ,13.65,19.647680,-99.206653
AURRERA BODEGA SUCURSAL VILLA COAPA,HARINA DE MAIZ,12.00,19.291641,-99.125610
WALMART SUCURSAL VALLARTA,HARINA DE MAIZ,13.00,20.678954,-103.429244
FARMACIAS GUADALAJARA LA CALMA,HARINA DE MAIZ,10.70,20.635191,-103.414178
AURRERA BODEGA SUCURSAL XOCHIMILCO,HARINA DE MAIZ,12.00,19.267356,-99.116357
AURRERA BODEGA SUCURSAL PLAZA CHURUBUSCO,HARINA DE MAIZ,12.00,19.380448,-99.101768
WALMART SUSURSAL 1054 COLIMA NORTE,HARINA DE MAIZ,13.00,19.257428,-103.720523
SORIANA HIPER SUCURSAL CALAFIA,PAN DE CAJA,29.50,32.641719,-115.469582
WALMART SUCURSAL ENSENADA,PAN DE CAJA,27.00,31.859079,-116.606337
SUPER MERCADO ARAMBURO SUCURSAL FORJADORES,PAN DE CAJA,27.00,24.135925,-110.311974
MEGA COMERCIAL MEXICANA SUCURSAL LOS BALCONES,PAN DE CAJA,26.00,20.997830,-89.622778
AURRERA BODEGA SUCURSAL VILLA COAPA,TORTILLA DE MAIZ,9.50,19.291641,-99.125610
TORTILLERIA EL MERCADO,TORTILLA DE MAIZ,10.00,19.675005,-99.206418
MERKABASTOS SUCURSAL MARIANO OTERO,TORTILLA DE MAIZ,9.00,20.631208,-103.435851
AURRERA BODEGA SUCURSAL CUAUTITLAN 1,TORTILLA DE MAIZ,9.50,19.654503,-99.206484
AURRERA BODEGA SUCURSAL XOCHIMILCO,TORTILLA DE MAIZ,9.50,19.267356,-99.116357
EL GUAYABO,TORTILLA DE MAIZ,12.00,20.646007,-103.427870
PACHUCA,TORTILLA DE MAIZ,12.00,20.128085,-98.730175
TORTILLERIA ALONDRA,TORTILLA DE MAIZ,10.00,20.124272,-98.730374
WALMART SUCURSAL VALLARTA,TORTILLA DE MAIZ,10.00,20.678954,-103.429244
SORIANA SUCURSAL MALECON 30,TORTILLA DE MAIZ,8.90,21.107162,-101.660872
SORIANA HIPER SUCURSAL POLIFORUM,TORTILLA DE MAIZ,9.50,16.747273,-93.081601
